Date,Description,Account #,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,Postcode,Country
06/12/2020,APPLE.COM/BILL          HOLLYHILL,-1001,2.49,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG
05/12/2020,GPS (GREAT BRITAIN) LTD LONDON,-2965,71.16,,GPS (GREAT BRITAIN) LTD LONDON,"UNIT SU56
27 LOWER NEW CHANGE PASSAGE
LONDON",,EC4M 9AH,UNITED KINGDOM OF GB AND NI
05/12/2020,GPS (GREAT BRITAIN) LTD LONDON,-2965,125.68,,GPS (GREAT BRITAIN) LTD LONDON,"UNIT SU56
27 LOWER NEW CHANGE PASSAGE
LONDON",,EC4M 9AH,UNITED KINGDOM OF GB AND NI
05/12/2020,H&M ST PAULS GB701      LONDON,-2965,-51.98,"1GB0701 H&M One New Change
",H&M ST PAULS GB701      LONDON,"MSU3B
ONE NEW CHANGE
LONDON",,EC2V 6AH,UNITED KINGDOM OF GB AND NI
05/12/2020,MARKS & SPENCER-NEW CHA LONDON,-2965,12.57,"RETAIL GOODS
",MARKS & SPENCER-NEW CHA LONDON,"MARKS & SPENCER
UNIT 3A
I NEW CHANGE
LONDON",,EC4M 9AB,UNITED KINGDOM OF GB AND NI
05/12/2020,SPOTIFY UK              LONDON,-1001,4.99,,SPOTIFY UK              LONDON,4TH 25 ARGYLL STREET,LONDON,W1F 7TU,UNITED KINGDOM
05/12/2020,THE BODY SHOP INTERNATI LITTLEHAMPTON,-2965,10,,THE BODY SHOP INTERNATI LITTLEHAMPTON,"UNIT SU7
ONE NEW CHANGE SHOPPING
CHEAPSIDE",,EC2M 9AF,UNITED KINGDOM OF GB AND NI
04/12/2020,DELIVEROO.CO.UK         LONDON,-1001,15.48,,DELIVEROO.CO.UK         LONDON,"LEVEL 1
THE RIVER BUILDING - CANNON
BRIDGE HOUSE 1 COUSIN LANE",LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI
04/12/2020,H PIGNEY & SON LTD H PI APPLEBY-IN-WE,-1001,-11.06,,H PIGNEY & SON LTD H PI APPLEBY-IN-WE,"CHAPEL STREET
APPLEBY-IN-WESTMORLAND",,CA16 6QR,UNITED KINGDOM OF GB AND NI
04/12/2020,H PIGNEY & SON LTD H PI APPLEBY-IN-WE,-1001,38.76,,H PIGNEY & SON LTD H PI APPLEBY-IN-WE,"CHAPEL STREET
APPLEBY-IN-WESTMORLAND",,CA16 6QR,UNITED KINGDOM OF GB AND NI
04/12/2020,PAYMENT RECEIVED - THANK YOU,-1001,-400,,PAYMENT RECEIVED - THANK YOU,,,,
04/12/2020,PAYMENT RECEIVED - THANK YOU,-1001,-380,,PAYMENT RECEIVED - THANK YOU,,,,
04/12/2020,PAYMENT RECEIVED - THANK YOU,-1001,-150,,PAYMENT RECEIVED - THANK YOU,,,,
03/12/2020,H&M ST PAULS GB701      LONDON,-2965,-41.16,"1GB0701 H&M One New Change
",H&M ST PAULS GB701      LONDON,"MSU3B
ONE NEW CHANGE
LONDON",,EC2V 6AH,UNITED KINGDOM OF GB AND NI
03/12/2020,H&M ST PAULS GB701      LONDON,-2965,51.98,"1GB0701 H&M One New Change
",H&M ST PAULS GB701      LONDON,"MSU3B
ONE NEW CHANGE
LONDON",,EC2V 6AH,UNITED KINGDOM OF GB AND NI
03/12/2020,HOME RETAIL GROUP PLC   CENTRAL MILTON,-1001,309.99,,HOME RETAIL GROUP PLC   CENTRAL MILTON,"489-499 AVEBURY BOULEVARD
MILTON KEYNES",,MK9 2NW,UNITED KINGDOM OF GB AND NI
03/12/2020,PAYMENT RECEIVED - THANK YOU,-1001,-6,,PAYMENT RECEIVED - THANK YOU,,,,
03/12/2020,POST OFFICE  PENRITH    PENRITH,-1001,1.4,,POST OFFICE  PENRITH    PENRITH,"UNIT 4
ANGEL SQUARE
GRAHAM SQUARE",PENRITH,CA11 7BT,UNITED KINGDOM OF GB AND NI
03/12/2020,SAINSBURY'S SUPERMARKET PENRITH,-1001,69.11,"GOODS
",SAINSBURY'S SUPERMARKET PENRITH,"1 COMMON GARDEN SQUARE
PENRITH",,CA11 7FG,UNITED KINGDOM OF GB AND NI
03/12/2020,VEYGO INSURANCE         CARDIFF,-1001,56.44,,VEYGO INSURANCE         CARDIFF,"GBP SUBMISSION
LONDON",,XXXXX,UNITED KINGDOM OF GB AND NI
03/12/2020,WATERSTONES WATERSTONES UNITED KINGDOM,-2965,26.58,,WATERSTONES WATERSTONES UNITED KINGDOM,"ROYAL HOUSE
PRINCE'S GATE
SOLIHULL",,B91 3QQ,UNITED KINGDOM OF GB AND NI
02/12/2020,ADDISON LEE LTD Addison LONDON,-1001,16.45,,ADDISON LEE LTD Addison LONDON,35-37 WILLIAM ROAD,LONDON,NW1 3ER,UNITED KINGDOM OF GB AND NI
02/12/2020,DELIVEROO PLUS - UK     LONDON,-1001,11.49,,DELIVEROO PLUS - UK     LONDON,"LEVEL 1
THE RIVER BUILDING - CANNON
BRIDGE HOUSE 1 COUSIN LANE",LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI
02/12/2020,DELIVEROO.CO.UK         LONDON,-1001,21.21,,DELIVEROO.CO.UK         LONDON,"LEVEL 1
THE RIVER BUILDING - CANNON
BRIDGE HOUSE 1 COUSIN LANE",LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI
02/12/2020,DELIVEROO.CO.UK         LONDON,-1001,34.83,,DELIVEROO.CO.UK         LONDON,"LEVEL 1
THE RIVER BUILDING - CANNON
BRIDGE HOUSE 1 COUSIN LANE",LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI
02/12/2020,WEST COAST CATERING OBS BIRMINGHAM,-1001,8.9,"WCT Catering
",WEST COAST CATERING OBS BIRMINGHAM,"3RD FLOOR
CATERING CONTROL
EAST
MERIDIAN
85 SMALLBROOK QUEENSWAY",BIRMINGHAM,B5 4HA,UNITED KINGDOM
01/12/2020,ADDISON LEE LTD (MOTO),-1001,-10,"Addison Lee
",ADDISON LEE LTD (MOTO),35-37 WILLIAM ROAD,LONDON,NW1 3ER,UNITED KINGDOM OF GB AND NI
01/12/2020,HOSTROUTE               HAYES,-1001,5.99,"tsoHost 6073787
",HOSTROUTE               HAYES,"5TH FLOOR
SHIPPING BUILDING
HEG FINANCE DEPT
OLD VINYL FACTORY
252-254 BLYTH ROAD",HAYES,UB3 1HA,UNITED KINGDOM OF GB AND NI
01/12/2020,MICROSOFT*XBOX          MSBILL.INFO,-1001,1,,MICROSOFT*XBOX          MSBILL.INFO,MICROSOFT CAMPUS,READING,RG6 1WG,UNITED KINGDOM OF GB AND NI
